Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    policy_gradient_loss | -0.0205     |
|    std                  | 0.649       |
|    value_loss           | 1.95        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 128         |
| time/                   |             |
|    fps                  | 151         |
|    iterations           | 443         |
|    time_elapsed         | 5999        |
|    total_timesteps      | 907264      |
| train/                  |             |
|    approx_kl            | 0.027225906 |
|    clip_fraction        | 0.293       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.78       |
|    explained_variance   | 0.908       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.935       |
|    n_updates            | 4420        |
|    policy_gradient_loss | -0.0237     |
|    std                  | 0.648       |
|    value_loss           | 2.87        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 128         |
| time/                   |             |
|    fps                  | 151         |
|    iterations           | 444         |
|    time_elapsed         | 6011        |
|    total_timesteps      | 909312      |
| train/                  |             |
|    approx_kl            | 0.022640266 |
|    clip_fraction        | 0.292       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.76       |
|    explained_variance   | 0.887       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.69        |
|    n_updates            | 4430        |
|    policy_gradient_loss | -0.0191     |
|    std                  | 0.644       |
|    value_loss           | 2.96        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 129        |
| time/                   |            |
|    fps                  | 151        |
|    iterations           | 445        |
|    time_elapsed         | 6023       |
|    total_timesteps      | 911360     |
| train/                  |            |
|    approx_kl            | 0.02999919 |
|    clip_fraction        | 0.332      |
|    clip_range           | 0.2        |
|    entropy_loss         | -6.74      |
|    explained_variance   | 0.911      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.323      |
|    n_updates            | 4440       |
|    policy_gradient_loss | -0.0292    |
|    std                  | 0.644      |
|    value_loss           | 2.19       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 130         |
| time/                   |             |
|    fps                  | 151         |
|    iterations           | 446         |
|    time_elapsed         | 6040        |
|    total_timesteps      | 913408      |
| train/                  |             |
|    approx_kl            | 0.017683672 |
|    clip_fraction        | 0.255       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.74       |
|    explained_variance   | 0.91        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.33        |
|    n_updates            | 4450        |
